Unnamed: 0,name,movie_acted,num_of_movie,sum_score,sum_nor_popularity,avg_score,avg_nor_popularity,nor_movie_count,ClusterLabel
0,Robert De Niro,"['tm84618', 'tm155787', 'tm180542', 'tm145608', 'tm311902', 'tm244149', 'tm844497']",7,5.495000000000001,4.73,0.7850000000000001,0.6757142857142858,0.5404763088546394,2
1,Jodie Foster,['tm84618'],1,0.82,0.8,0.82,0.8,0.0,1
2,Albert Brooks,['tm84618'],1,0.82,0.8,0.82,0.8,0.0,1
3,Harvey Keitel,"['tm84618', 'tm214825', 'tm244149', 'tm471878']",4,2.775,2.75,0.69375,0.6875,0.3572354086479836,2
4,Cybill Shepherd,"['tm84618', 'tm425884']",2,1.555,1.32,0.7775,0.66,0.158079186604075,1
5,Peter Boyle,"['tm84618', 'tm156453']",2,1.435,1.17,0.7175,0.585,0.158079186604075,2
6,Leonard Harris,['tm84618'],1,0.82,0.8,0.82,0.8,0.0,1
7,Diahnne Abbott,['tm84618'],1,0.82,0.8,0.82,0.8,0.0,1
8,Gino Ardito,['tm84618'],1,0.82,0.8,0.82,0.8,0.0,1
9,Martin Scorsese,"['tm84618', 'tm300280', 'tm844497']",3,2.345,1.7000000000000002,0.7816666666666666,0.5666666666666668,0.2702381544273197,2
10,Murray Moston,['tm84618'],1,0.82,0.8,0.82,0.8,0.0,1
11,Richard Higgs,['tm84618'],1,0.82,0.8,0.82,0.8,0.0,1
12,Victor Argo,['tm84618'],1,0.82,0.8,0.82,0.8,0.0,1
13,Joe Spinell,['tm84618'],1,0.82,0.8,0.82,0.8,0.0,1
14,Norman Matlock,['tm84618'],1,0.82,0.8,0.82,0.8,0.0,1
15,Harry Northup,['tm84618'],1,0.82,0.8,0.82,0.8,0.0,1
16,Steven Prince,['tm84618'],1,0.82,0.8,0.82,0.8,0.0,1
17,Peter Savage,['tm84618'],1,0.82,0.8,0.82,0.8,0.0,1
18,Copper Cunningham,['tm84618'],1,0.82,0.8,0.82,0.8,0.0,1
19,Garth Avery,['tm84618'],1,0.82,0.8,0.82,0.8,0.0,1
20,Nat Grant,['tm84618'],1,0.82,0.8,0.82,0.8,0.0,1
21,Jon Voight,"['tm154986', 'tm107744', 'tm191387']",3,1.945,2.15,0.6483333333333333,0.7166666666666667,0.2702381544273197,2
22,Burt Reynolds,"['tm154986', 'tm191013']",2,1.525,1.38,0.7625,0.69,0.158079186604075,1
23,Ned Beatty,['tm154986'],1,0.75,0.66,0.75,0.66,0.0,1
24,Ronny Cox,"['tm154986', 'tm452237']",2,1.28,1.1800000000000002,0.64,0.5900000000000001,0.158079186604075,2
25,Ed Ramey,['tm154986'],1,0.75,0.66,0.75,0.66,0.0,1
26,Billy Redden,"['tm154986', 'tm139658']",2,1.54,1.4,0.77,0.7,0.158079186604075,1
27,Seamon Glass,['tm154986'],1,0.75,0.66,0.75,0.66,0.0,1
28,Randall Deal,['tm154986'],1,0.75,0.66,0.75,0.66,0.0,1
29,Bill McKinney,"['tm154986', 'tm88045']",2,1.285,1.3,0.6425000000000001,0.65,0.158079186604075,2
30,Herbert 'Cowboy' Coward,['tm154986'],1,0.75,0.66,0.75,0.66,0.0,1
31,Lewis Crone,['tm154986'],1,0.75,0.66,0.75,0.66,0.0,1
32,Ken Keener,['tm154986'],1,0.75,0.66,0.75,0.66,0.0,1
33,Johnny Popwell,['tm154986'],1,0.75,0.66,0.75,0.66,0.0,1
34,John Fowler,['tm154986'],1,0.75,0.66,0.75,0.66,0.0,1
35,Kathy Rickman,['tm154986'],1,0.75,0.66,0.75,0.66,0.0,1
36,Louise Coldren,['tm154986'],1,0.75,0.66,0.75,0.66,0.0,1
37,Pete Ware,['tm154986'],1,0.75,0.66,0.75,0.66,0.0,1
38,James Dickey,['tm154986'],1,0.75,0.66,0.75,0.66,0.0,1
39,Macon McCalman,['tm154986'],1,0.75,0.66,0.75,0.66,0.0,1
40,Hoyt Pollard,['tm154986'],1,0.75,0.66,0.75,0.66,0.0,1
41,Belinda Beatty,['tm154986'],1,0.75,0.66,0.75,0.66,0.0,1
42,Charley Boorman,['tm154986'],1,0.75,0.66,0.75,0.66,0.0,1
43,Graham Chapman,"['tm127384', 'tm70993', 'tm62924', 'tm133914', 'tm57169', 'tm34391', 'tm418157']",7,5.270000000000001,3.73,0.752857142857143,0.5328571428571428,0.5404763088546394,2
44,John Cleese,"['tm127384', 'tm70993', 'tm62924', 'tm133914', 'tm57169', 'tm34391', 'tm418157', 'tm199408', 'tm148597', 'tm360904', 'tm233485', 'tm1088320']",12,8.540000000000003,6.219999999999999,0.7116666666666669,0.5183333333333332,0.7297618455726802,2
45,Eric Idle,"['tm127384', 'tm70993', 'tm62924', 'tm133914', 'tm57169', 'tm34391', 'tm418157', 'tm72251', 'tm199408', 'tm148597', 'tm360904']",11,8.190000000000001,5.55,0.7445454545454546,0.5045454545454545,0.6985554954587144,2
46,Terry Gilliam,"['tm127384', 'tm70993', 'tm62924', 'tm133914', 'tm57169', 'tm34391', 'tm418157', 'tm199408', 'tm148597', 'tm360904']",10,7.475000000000001,5.079999999999999,0.7475000000000002,0.5079999999999999,0.664632261560739,2
