country,popularity
US,0.8
US,0.66
US,0.68
US,0.68
US,0.68
US,0.71
US,0.65
US,0.6
US,0.52
US,0.62
US,0.37
US,0.82
US,0.78
US,0.75
US,0.71
US,0.75
US,0.64
US,0.71
US,0.68
US,0.68
US,0.71
US,0.63
US,0.6
US,0.57
US,0.6
US,0.4
US,0.39
US,0.38
US,0.36
US,0.42
US,0.36
US,0.43
US,0.37
US,0.48
US,0.4
US,0.35
US,0.4
US,0.78
US,0.84
US,0.72
US,0.85
US,0.78
US,0.7
US,0.86
US,0.74
US,0.75
US,0.76
US,0.72
US,0.82
US,0.34
US,0.67
US,0.72
US,0.73
US,0.64
US,0.74
US,0.67
US,0.72
US,0.71
US,0.68
US,0.65
US,0.7
US,0.64
US,0.69
US,0.66
US,0.7
US,0.71
US,0.69
US,0.69
US,0.66
US,0.72
US,0.66
US,0.65
US,0.58
US,0.54
US,0.66
US,0.67
US,0.64
US,0.57
US,0.64
US,0.5
US,0.56
US,0.52
US,0.53
US,0.4
US,0.5
US,0.32
US,0.45
US,0.32
US,0.41
US,0.44
US,0.36
US,0.36
US,0.43
US,0.32
US,0.38
US,0.39
US,0.76
US,0.78
US,0.82
US,0.72
US,0.74
US,0.88
US,0.81
US,0.8
US,0.77
US,0.76
US,0.79
US,0.32
US,0.74
US,0.7
US,0.72
US,0.74
US,0.76
US,0.79
US,0.79
US,0.78
US,0.72
US,0.76
US,0.78
US,0.48
US,0.72
US,0.82
US,0.79
US,0.74
US,0.54
US,0.79
US,0.72
US,0.74
US,0.82
US,0.78
US,0.7
US,0.77
US,0.68
US,0.7
US,0.72
US,0.76
US,0.72
US,0.7
US,0.66
US,0.7
US,0.62
US,0.75
US,0.79
US,0.69
US,0.74
US,0.72
US,0.7
US,0.72
US,0.68
US,0.73
US,0.75
US,0.64
US,0.64
US,0.72
US,0.67
US,0.72
US,0.68
US,0.76
US,0.74
US,0.73
US,0.76
US,0.66
US,0.66
US,0.74
US,0.72
US,0.7
US,0.64
US,0.74
US,0.7
US,0.71
US,0.67
US,0.64
US,0.69
US,0.62
US,0.66
US,0.54
US,0.61
US,0.51
US,0.62
US,0.73
US,0.66
US,0.58
US,0.56
US,0.66
US,0.64
US,0.72
US,0.54
US,0.56
US,0.62
US,0.66
US,0.64
US,0.69
US,0.6
US,0.66
US,0.6
US,0.54
US,0.64
US,0.66
US,0.59
US,0.47
US,0.55
US,0.5
US,0.57
US,0.66
US,0.55
US,0.43
US,0.49
US,0.47
US,0.39
US,0.58
US,0.46
US,0.52
US,0.51
US,0.42
US,0.38
US,0.51
US,0.58
US,0.43
US,0.5
US,0.44
US,0.42
US,0.36
US,0.49
US,0.35
US,0.32
US,0.43
US,0.47
US,0.38
US,0.26
US,0.44
US,0.32
US,0.8
US,0.74
US,0.84
US,0.86
US,0.8
US,0.69
US,0.84
US,0.74
US,0.76
US,0.78
US,0.75
US,0.78
US,0.74
US,0.69
US,0.76
US,0.76
US,0.72
US,0.7
US,0.66
US,0.75
US,0.68
US,0.64
US,0.55
US,0.57
US,0.7
US,0.68
US,0.52
US,0.65
US,0.7
US,0.5
US,0.67
US,0.64
US,0.56
US,0.42
US,0.47
US,0.6
US,0.46
US,0.51
US,0.55
US,0.64
US,0.38
US,0.5
US,0.52
US,0.53
US,0.5
US,0.46
US,0.38
US,0.44
US,0.4
US,0.34
US,0.37
US,0.4
US,0.41
US,0.34
US,0.72
US,0.8
US,0.8
US,0.76
US,0.8
US,0.68
US,0.84
US,0.81
US,0.68
US,0.38
US,0.7
US,0.68
US,0.77
US,0.68
US,0.69
US,0.76
US,0.66
US,0.6
US,0.69
US,0.68
US,0.66
US,0.74
US,0.74
US,0.73
US,0.75
US,0.59
US,0.72
US,0.68
US,0.7
US,0.74
US,0.61
US,0.7
US,0.64
US,0.55
US,0.6
US,0.52
US,0.67
US,0.59
US,0.68
US,0.68
US,0.68
US,0.55
US,0.56
US,0.61
US,0.53
US,0.49
US,0.48
US,0.63
US,0.48
US,0.54
US,0.55
US,0.54
US,0.44
US,0.46
US,0.48
US,0.58
US,0.35
US,0.43
US,0.63
US,0.52
US,0.52
US,0.5
US,0.54
US,0.48
US,0.48
US,0.47
US,0.48
US,0.51
US,0.48
US,0.48
US,0.46
US,0.48
US,0.38
US,0.56
US,0.44
US,0.43
US,0.39
US,0.24
US,0.28
US,0.46
US,0.38
US,0.3
US,0.3
US,0.36
US,0.45
US,0.74
US,0.82
US,0.66
US,0.74
US,0.7
US,0.66
US,0.74
US,0.76
US,0.68
US,0.7
US,0.72
US,0.68
US,0.72
US,0.34
US,0.68
US,0.72
US,0.74
US,0.76
US,0.7
US,0.66
US,0.7
US,0.69
US,0.81
US,0.72
US,0.8
US,0.61
US,0.74
US,0.59
US,0.64
US,0.72
US,0.7
US,0.69
US,0.7
US,0.66
US,0.62
US,0.68
US,0.55
US,0.65
US,0.68
US,0.6
US,0.68
US,0.62
US,0.72
US,0.58
US,0.54
US,0.7
US,0.66
US,0.66
US,0.68
US,0.57
US,0.65
US,0.67
US,0.58
US,0.58
US,0.56
US,0.6
US,0.54
US,0.69
US,0.58
US,0.64
US,0.56
US,0.54
US,0.65
US,0.58
US,0.57
US,0.6
US,0.55
US,0.54
US,0.44
US,0.61
US,0.6
US,0.56
US,0.55
US,0.5
US,0.61
US,0.59
US,0.45
US,0.6
US,0.56
US,0.55
US,0.44
US,0.56
US,0.58
US,0.54
US,0.53
US,0.6
US,0.57
US,0.49
US,0.55
US,0.5
US,0.56
US,0.55
US,0.36
US,0.59
US,0.54
US,0.5
US,0.41
US,0.44
US,0.54
US,0.57
US,0.44
US,0.51
US,0.57
US,0.62
US,0.5
US,0.5
US,0.46
US,0.26
US,0.48
US,0.46
US,0.54
US,0.51
US,0.5
US,0.48
US,0.45
US,0.47
US,0.45
US,0.4
US,0.52
US,0.41
US,0.52
US,0.46
US,0.46
US,0.42
US,0.5
US,0.48
US,0.4
US,0.45
US,0.52
US,0.58
US,0.56
US,0.48
US,0.44
US,0.43
US,0.43
US,0.48
US,0.48
US,0.47
US,0.5
US,0.48
US,0.4
US,0.5
US,0.46
US,0.45
US,0.4
US,0.48
US,0.38
US,0.43
US,0.33
US,0.4
US,0.44
US,0.45
US,0.4
US,0.45
US,0.45
US,0.49
US,0.4
US,0.39
US,0.28
US,0.32
US,0.25
US,0.35
US,0.4
US,0.3
US,0.66
US,0.8
US,0.73
US,0.82
US,0.74
US,0.66
US,0.78
US,0.7
US,0.69
US,0.72
US,0.73
US,0.68
US,0.73
US,0.6
US,0.7
US,0.6
US,0.57
US,0.66
US,0.69
US,0.69
US,0.68
US,0.66
US,0.38
US,0.64
US,0.66
US,0.64
US,0.72
US,0.44
US,0.68
US,0.64
US,0.77
US,0.72
