,num,popularity
0,1499,0.56
1,256,0.58
2,43,0.42
3,105,0.54
4,577,0.48
5,2,0.35
6,33,0.36
7,157,0.54
8,184,0.51
9,1,0.41
10,60,0.52
11,118,0.53
12,54,0.46
13,11,0.5
14,62,0.44
15,13,0.53
16,33,0.5
17,4,0.44
18,1,0.4
19,81,0.44
20,136,0.52
21,22,0.4
22,13,0.52
23,37,0.54
24,62,0.51
25,1,0.79
26,10,0.51
27,2,0.7
28,41,0.55
29,37,0.47
30,57,0.56
31,9,0.61
32,17,0.43
33,4,0.5
34,49,0.54
35,7,0.45
36,19,0.5
37,33,0.5
38,17,0.53
39,22,0.48
40,67,0.34
41,15,0.39
42,1,0.4
43,13,0.53
44,82,0.38
45,5,0.35
46,10,0.45
47,21,0.37
48,19,0.39
49,6,0.65
50,61,0.42
51,2,0.46
52,1,0.55
53,7,0.55
54,9,0.48
55,7,0.55
56,11,0.48
57,4,0.52
58,8,0.54
59,5,0.53
60,2,0.58
61,4,0.5
62,12,0.45
63,2,0.42
64,3,0.39
65,1,0.45
66,3,0.47
67,7,0.42
68,3,0.41
69,3,0.4
70,2,0.6
71,2,0.49
72,14,0.54
73,2,0.5
74,3,0.5
75,1,0.54
76,20,0.4
77,32,0.54
78,2,0.29
79,1,0.51
80,2,0.48
81,4,0.58
82,4,0.29
83,2,0.53
84,3,0.55
85,1,0.5
86,1,0.37
87,1,0.4
88,2,0.33
89,3,0.42
90,3,0.62
91,1,0.3
92,1,0.52
93,2,0.66
94,1,0.7
95,1,0.67
96,1,0.66
97,1,0.57
98,1,0.4
99,1,0.52
100,1,0.36
101,2,0.46
102,1,0.48
103,1,0.42
104,1,0.34
