Unnamed: 0,name,movie_directed,num_of_movie,sum_score,sum_nor_popularity,avg_score,avg_nor_popularity,nor_movie_count,ClusterLabel
0,Martin Scorsese,"['tm84618', 'tm155787', 'tm27911', 'tm186461', 'tm244149', 'tm453099']",6,4.765000000000001,4.24,0.7941666666666668,0.7066666666666667,0.5327788342923226,1
1,John Boorman,['tm154986'],1,0.75,0.66,0.75,0.66,0.0,0
2,Terry Jones,"['tm127384', 'tm70993']",2,1.59,1.48,0.795,0.74,0.1724374307643634,0
3,Terry Gilliam,['tm127384'],1,0.8,0.74,0.8,0.74,0.0,0
4,Robert Aldrich,['tm120801'],1,0.7650000000000001,0.68,0.7650000000000001,0.68,0.0,0
5,Don Siegel,['tm14873'],1,0.76,0.68,0.76,0.68,0.0,0
6,Arthur Penn,['tm119281'],1,0.76,0.68,0.76,0.68,0.0,0
7,Randal Kleiser,['tm98978'],1,0.6000000000000001,0.71,0.6000000000000001,0.71,0.0,0
8,J. Lee Thompson,['tm44204'],1,0.7400000000000001,0.65,0.7400000000000001,0.65,0.0,0
9,Richard Brooks,['tm67378'],1,0.72,0.6,0.72,0.6,0.0,0
10,Jeff Margolis,['tm69997'],1,0.78,0.52,0.78,0.52,0.0,0
11,Michael Curtiz,['tm16479'],1,0.735,0.62,0.735,0.62,0.0,0
12,Youssef Chahine,"['tm135083', 'tm14350', 'tm81728', 'tm27298', 'tm19608', 'tm204541', 'tm90896', 'tm151332', 'tm47673', 'tm44776', 'tm117840']",11,7.445,4.66,0.6768181818181819,0.4236363636363636,0.7620049006509914,1
13,Joachim Fest,['tm89386'],1,0.7400000000000001,0.49,0.7400000000000001,0.49,0.0,2
14,Francine Parker,['tm156453'],1,0.6150000000000001,0.37,0.6150000000000001,0.37,0.0,2
15,Raj Khosla,['tm94651'],1,0.35,0.3,0.35,0.3,0.0,2
16,Umesh Mehra,"['tm100027', 'tm446654', 'tm371359', 'tm172482', 'tm449775']",5,2.865,1.82,0.5730000000000001,0.364,0.4672211657076773,1
17,Latif Faiziyev,"['tm100027', 'tm172482']",2,1.245,0.8200000000000001,0.6225,0.41,0.1724374307643634,1
18,Maroun Bagdadi,"['tm259855', 'tm200475', 'tm259684', 'tm52274', 'tm7032']",5,3.130000000000001,1.58,0.6260000000000001,0.316,0.4672211657076773,1
19,Shakti Samanta,['tm356209'],1,0.635,0.29,0.635,0.29,0.0,2
20,Mohammed Hussain,['tm336403'],1,0.4449999999999999,0.3,0.4449999999999999,0.3,0.0,2
21,Suhail Tatari,['tm107372'],1,0.5900000000000001,0.36,0.5900000000000001,0.36,0.0,2
22,A. Salaam,['tm403346'],1,0.53,0.21,0.53,0.21,0.0,2
23,Alo Sarkar,['tm16812'],1,0.52,0.27,0.52,0.27,0.0,2
24,Stanley Kubrick,['tm22327'],1,0.82,0.78,0.82,0.78,0.0,0
25,Sergio Leone,['tm180542'],1,0.8400000000000001,0.75,0.8400000000000001,0.75,0.0,0
26,Rob Reiner,"['tm138875', 'tm74780', 'tm165593']",3,2.0400000000000005,2.1,0.6800000000000002,0.7000000000000001,0.2947837349433139,1
27,Wes Craven,['tm2386'],1,0.735,0.75,0.735,0.75,0.0,0
28,Herbert Ross,['tm133087'],1,0.7250000000000001,0.64,0.7250000000000001,0.64,0.0,0
29,Hugh Wilson,['tm177480'],1,0.665,0.71,0.665,0.71,0.0,0
30,John Carpenter,"['tm54450', 'tm49178']",2,1.295,1.32,0.6475,0.66,0.1724374307643634,0
31,Penny Marshall,['tm145608'],1,0.78,0.68,0.78,0.68,0.0,0
32,Jeremiah S. Chechik,['tm147710'],1,0.735,0.71,0.735,0.71,0.0,0
33,John G. Avildsen,['tm142895'],1,0.735,0.63,0.735,0.63,0.0,0
34,Robert Townsend,"['tm20712', 'tm1152323']",2,1.39,0.96,0.6950000000000001,0.48,0.1724374307643634,1
35,Spike Lee,"['tm117580', 'tm183523', 'tm319477', 'tm843444']",4,2.455,2.33,0.61375,0.5825,0.3896829011373962,1
36,Franco Zeffirelli,['tm130586'],1,0.5300000000000001,0.6,0.5300000000000001,0.6,0.0,0
37,Vishnu Raghav,['tm721687'],1,0.67,0.41,0.67,0.41,0.0,2
38,Yoshiyuki Tomino,"['tm40103', 'tm125985', 'tm49037']",3,2.1750000000000003,1.5,0.7250000000000001,0.5,0.2947837349433139,1
39,Walter C. Miller,"['tm21953', 'tm8687']",2,1.3250000000000002,0.8500000000000001,0.6625000000000001,0.425,0.1724374307643634,1
40,Alejandro Doria,['tm126769'],1,0.8050000000000002,0.55,0.8050000000000002,0.55,0.0,0
41,Ellen Brown,"['tm152839', 'tm7951', 'tm7135']",3,1.99,1.18,0.6633333333333334,0.3933333333333333,0.2947837349433139,1
42,Terry Hughes,['tm62924'],1,0.7650000000000001,0.57,0.7650000000000001,0.57,0.0,0
43,Ian MacNaughton,"['tm62924', 'tm133914']",2,1.515,1.01,0.7575000000000001,0.505,0.1724374307643634,1
44,Babbar Subhash,['tm52815'],1,0.585,0.49,0.585,0.49,0.0,2
45,Mukul Anand,['tm159912'],1,0.7050000000000001,0.53,0.7050000000000001,0.53,0.0,0
46,Buzz Kulik,['tm38736'],1,0.645,0.38,0.645,0.38,0.0,2
47,Larry Elikann,['tm51083'],1,0.585,0.36,0.585,0.36,0.0,2
48,John Herzfeld,['tm137013'],1,0.6550000000000001,0.42,0.6550000000000001,0.42,0.0,2
49,Indra Kumar,"['tm157603', 'tm62176']",2,1.2950000000000002,1.01,0.6475000000000001,0.505,0.1724374307643634,1
50,Robert Markowitz,['tm258072'],1,0.7000000000000001,0.36,0.7000000000000001,0.36,0.0,2
51,Eric Laneuville,['tm114356'],1,0.605,0.43,0.605,0.43,0.0,2
52,Joel Oliansky,['tm157853'],1,0.525,0.37,0.525,0.37,0.0,2
53,Kevin Booth,['tm132164'],1,0.7200000000000001,0.48,0.7200000000000001,0.48,0.0,2
54,David Johndrow,['tm132164'],1,0.7200000000000001,0.48,0.7200000000000001,0.48,0.0,2
55,Rajiv Mehra,"['tm348735', 'tm411457', 'tm419052']",3,1.795,0.91,0.5983333333333333,0.3033333333333333,0.2947837349433139,1
56,Ramesh Talwar,['tm342996'],1,0.6400000000000001,0.36,0.6400000000000001,0.36,0.0,2
57,Arthur Allan Seidelman,['tm24110'],1,0.655,0.4,0.655,0.4,0.0,2
58,Roy Campanella II,['tm55091'],1,0.76,0.35,0.76,0.35,0.0,2
59,Prakash Mehra,['tm311264'],1,0.5199999999999999,0.32,0.5199999999999999,0.32,0.0,2
60,Linda Otto,['tm147829'],1,0.57,0.4,0.57,0.4,0.0,2
61,Brian De Palma,['tm107744'],1,0.7000000000000001,0.78,0.7000000000000001,0.78,0.0,0
62,David Fincher,"['tm15897', 'tm821789']",2,1.5300000000000002,1.5,0.7650000000000001,0.75,0.1724374307643634,0
63,Paul Thomas Anderson,"['tm191013', 'tm315174', 'tm819950']",3,2.225,1.92,0.7416666666666667,0.64,0.2947837349433139,1
64,Robert Zemeckis,['tm122434'],1,0.8650000000000001,0.85,0.8650000000000001,0.85,0.0,0
65,Guy Ritchie,"['tm25947', 'tm154187', 'tm178201', 'tm441050']",4,3.0450000000000004,3.13,0.7612500000000001,0.7825,0.3896829011373962,1
66,Anthony Minghella,['tm43808'],1,0.7300000000000001,0.7,0.7300000000000001,0.7,0.0,0
67,James Cameron,['tm191110'],1,0.79,0.86,0.79,0.86,0.0,0
68,Paul Verhoeven,['tm192037'],1,0.7150000000000001,0.74,0.7150000000000001,0.74,0.0,0
69,John Woo,"['tm27395', 'tm311319']",2,1.15,1.29,0.575,0.645,0.1724374307643634,1
70,Peter Farrelly,['tm113513'],1,0.695,0.76,0.695,0.76,0.0,0
71,Andrew Niccol,"['tm192405', 'tm243326']",2,1.37,1.38,0.685,0.69,0.1724374307643634,0
72,Luc Besson,['tm116655'],1,0.8400000000000001,0.82,0.8400000000000001,0.82,0.0,0
73,Oliver Stone,"['tm116488', 'tm40319']",2,1.36,1.03,0.68,0.515,0.1724374307643634,1
74,Sam Raimi,['tm11556'],1,0.65,0.67,0.65,0.67,0.0,0
