id,name,title,imdb_score,tmdb_score,imdb_votes,tmdb_popularity,nor_imdb_vote,nor_tmdb_popularity,weighted_average_popularity
tm84618,Martin Scorsese,Taxi Driver,8.2,8.179,808582.0,40.965,0.92,0.68,0.8
tm154986,John Boorman,Deliverance,7.7,7.3,107673.0,10.01,0.77,0.56,0.66
tm127384,Terry Jones,Monty Python and the Holy Grail,8.2,7.811,534486.0,15.461,0.89,0.6,0.74
tm127384,Terry Gilliam,Monty Python and the Holy Grail,8.2,7.811,534486.0,15.461,0.89,0.6,0.74
tm120801,Robert Aldrich,The Dirty Dozen,7.7,7.6,72662.0,20.398,0.74,0.62,0.68
tm70993,Terry Jones,Life of Brian,8.0,7.8,395024.0,17.77,0.87,0.61,0.74
tm14873,Don Siegel,Dirty Harry,7.7,7.5,155051.0,12.817,0.79,0.58,0.68
tm119281,Arthur Penn,Bonnie and Clyde,7.7,7.5,112048.0,15.687,0.77,0.6,0.68
tm98978,Randal Kleiser,The Blue Lagoon,5.8,6.156,69844.0,50.324,0.73,0.69,0.71
tm44204,J. Lee Thompson,The Guns of Navarone,7.5,7.3,50748.0,13.844,0.71,0.59,0.65
tm67378,Richard Brooks,The Professionals,7.3,7.1,16446.0,13.123,0.62,0.59,0.6
tm69997,Jeff Margolis,Richard Pryor: Live in Concert,8.1,7.5,5141.0,4.718,0.53,0.5,0.52
tm16479,Michael Curtiz,White Christmas,7.5,7.2,42488.0,8.915,0.69,0.55,0.62
tm135083,Youssef Chahine,Cairo Station,7.5,7.3,4471.0,5.546,0.52,0.52,0.52
tm89386,Joachim Fest,Hitler: A Career,7.5,7.3,2460.0,4.305,0.48,0.5,0.49
tm156453,Francine Parker,FTA,6.2,6.1,418.0,1.268,0.34,0.4,0.37
tm14350,Youssef Chahine,Alexandria… Why?,7.2,6.0,1727.0,1.37,0.45,0.4,0.43
tm81728,Youssef Chahine,The Land,8.1,8.5,1958.0,1.265,0.46,0.4,0.43
tm94651,Raj Khosla,Dostana,2.1,4.9,25.0,3.98,0.12,0.49,0.3
tm27298,Youssef Chahine,Saladin the Victorious,7.6,7.1,2508.0,4.156,0.48,0.49,0.48
tm100027,Umesh Mehra,Alibaba Aur 40 Chor,6.2,6.8,565.0,2.582,0.36,0.45,0.4
tm100027,Latif Faiziyev,Alibaba Aur 40 Chor,6.2,6.8,565.0,2.582,0.36,0.45,0.4
tm19608,Youssef Chahine,The Blazing Sun,7.4,7.0,1219.0,2.184,0.42,0.44,0.43
tm204541,Youssef Chahine,Dark Waters,6.7,5.9,610.0,0.849,0.37,0.37,0.37
tm259855,Maroun Bagdadi,We Are All for the Fatherland,6.1,5.2,47.0,0.6,0.17,0.34,0.26
tm356209,Shakti Samanta,Singapore,6.4,6.3,84.0,0.792,0.22,0.36,0.29
tm200475,Maroun Bagdadi,"Beirut, Oh Beirut",6.4,7.2,108.0,1.025,0.24,0.38,0.31
tm90896,Youssef Chahine,The Return of the Prodigal Son,7.2,5.3,780.0,1.858,0.39,0.43,0.41
tm336403,Mohammed Hussain,Khoon Khoon,5.1,3.8,41.0,1.948,0.16,0.43,0.3
tm107372,Suhail Tatari,Manoranjan,6.5,5.3,237.0,1.532,0.3,0.41,0.36
tm358653,,Ujala,6.6,6.0,78.0,0.84,0.21,0.36,0.28
tm259684,Maroun Bagdadi,Whispers,7.8,5.0,78.0,0.6,0.21,0.34,0.28
tm403346,A. Salaam,Chadi Jawani Budhe Nu,4.6,6.0,14.0,0.62,0.08,0.34,0.21
tm16812,Alo Sarkar,Bandie,4.4,6.0,35.0,1.166,0.15,0.39,0.27
tm155787,Martin Scorsese,GoodFellas,8.7,8.463,1131681.0,50.387,0.95,0.69,0.82
tm22327,Stanley Kubrick,Full Metal Jacket,8.3,8.1,729274.0,32.937,0.91,0.66,0.78
tm180542,Sergio Leone,Once Upon a Time in America,8.3,8.453,345714.0,28.937,0.85,0.65,0.75
tm138875,Rob Reiner,When Harry Met Sally...,7.7,7.4,216199.0,15.123,0.82,0.6,0.71
tm2386,Wes Craven,A Nightmare on Elm Street,7.4,7.3,234068.0,48.358,0.82,0.69,0.75
tm133087,Herbert Ross,Steel Magnolias,7.3,7.2,54946.0,11.69,0.71,0.58,0.64
tm177480,Hugh Wilson,Police Academy,6.7,6.6,124881.0,25.533,0.78,0.64,0.71
tm54450,John Carpenter,Christine,6.7,6.8,81922.0,23.418,0.74,0.63,0.68
tm145608,Penny Marshall,Awakenings,7.8,7.8,139240.0,12.23,0.79,0.58,0.68
tm147710,Jeremiah S. Chechik,National Lampoon's Christmas Vacation,7.5,7.2,185760.0,18.862,0.81,0.61,0.71
tm142895,John G. Avildsen,Lean On Me,7.4,7.3,20680.0,19.449,0.64,0.62,0.63
tm20712,Robert Townsend,Eddie Murphy Raw,7.6,7.3,19757.0,7.992,0.64,0.55,0.6
tm117580,Spike Lee,She's Gotta Have It,6.7,6.707,14472.0,7.416,0.61,0.54,0.57
tm130586,Franco Zeffirelli,Endless Love,4.9,5.7,8524.0,19.116,0.57,0.62,0.6
tm721687,Vishnu Raghav,Vaashi,6.7,,388.0,3.79,0.33,0.49,0.41
tm40103,Yoshiyuki Tomino,Mobile Suit Gundam: Char's Counterattack,7.3,6.7,1693.0,8.092,0.45,0.55,0.5
tm125985,Yoshiyuki Tomino,Mobile Suit Gundam II: Soldiers of Sorrow,7.2,7.2,1274.0,13.125,0.42,0.59,0.5
tm21953,Walter C. Miller,Sam Kinison: Breaking the Rules,7.2,7.2,660.0,1.843,0.37,0.43,0.4
tm126769,Alejandro Doria,Waiting for the Hearse,8.0,8.1,6399.0,7.81,0.55,0.54,0.55
tm152839,Ellen Brown,Tim Allen: Men Are Pigs,6.1,6.3,360.0,2.482,0.33,0.45,0.39
tm49037,Yoshiyuki Tomino,Mobile Suit Gundam III: Encounters in Space,7.6,7.5,1236.0,12.741,0.42,0.58,0.5
tm62924,Terry Hughes,Monty Python Live at the Hollywood Bowl,7.9,7.4,15230.0,6.833,0.62,0.53,0.57
tm62924,Ian MacNaughton,Monty Python Live at the Hollywood Bowl,7.9,7.4,15230.0,6.833,0.62,0.53,0.57
tm52815,Babbar Subhash,Disco Dancer,6.4,5.3,1476.0,7.879,0.44,0.54,0.49
tm159912,Mukul Anand,Agneepath,7.6,6.5,8947.0,4.062,0.57,0.49,0.53
tm133914,Ian MacNaughton,Parrot Sketch Not Included: Twenty Years of Monty Python,8.1,6.9,1522.0,1.801,0.44,0.43,0.44
tm38736,Buzz Kulik,Too Young The Hero,6.7,6.2,502.0,1.485,0.35,0.41,0.38
tm51083,Larry Elikann,A Stoning in Fulham County,5.9,5.8,387.0,1.01,0.33,0.38,0.36
tm137013,John Herzfeld,The Ryan White Story,7.2,5.9,863.0,1.981,0.4,0.43,0.42
tm157603,Indra Kumar,Dil,6.6,6.5,5316.0,3.992,0.53,0.49,0.51
tm258072,Robert Markowitz,Adam: His Song Continues,7.0,7.0,212.0,1.603,0.29,0.42,0.36
tm114356,Eric Laneuville,The George McKenna Story,6.0,6.1,921.0,2.296,0.4,0.45,0.43
tm157853,Joel Oliansky,In Defense of a Married Man,5.6,4.9,207.0,2.444,0.29,0.45,0.37
