,name,movie_acted,num_of_movie,sum_score,sum_nor_popularity,avg_score,avg_nor_popularity,nor_movie_count,scaled_avg_score
0,Robert De Niro,"['tm84618', 'tm155787', 'tm180542', 'tm145608', 'tm311902', 'tm244149', 'tm844497']",7,54.94999999999999,4.73,7.849999999999999,0.6757142857142858,0.6,0.78
1,Jodie Foster,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
2,Albert Brooks,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
3,Harvey Keitel,"['tm84618', 'tm214825', 'tm244149', 'tm471878']",4,27.75,2.75,6.9375,0.6875,0.43,0.69
4,Cybill Shepherd,"['tm84618', 'tm139885', 'tm425884']",3,22.25,1.87,7.416666666666667,0.6233333333333334,0.34,0.74
5,Peter Boyle,"['tm84618', 'tm156453']",2,14.35,1.17,7.175,0.585,0.22,0.72
6,Leonard Harris,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
7,Diahnne Abbott,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
8,Gino Ardito,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
9,Martin Scorsese,"['tm84618', 'tm186461', 'tm300280', 'tm844497']",4,30.85,2.21,7.712499999999999,0.5525,0.43,0.77
10,Murray Moston,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
11,Richard Higgs,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
12,Bill Minkin,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
13,Bob Maroff,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
14,Victor Argo,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
15,Joe Spinell,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
16,Robinson Frank Adu,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
17,Brenda Dickson,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
18,Norman Matlock,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
19,Harry Northup,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
20,Harlan Cary Poe,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
21,Steven Prince,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
22,Peter Savage,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
23,Nicholas Shields,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
24,Ralph S. Singleton,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
25,Annie Gagen,['tm84618'],1,8.2,0.8,8.2,0.8,0.0,0.82
