,name,movie_directed,num_of_movie,sum_score,sum_nor_popularity,avg_score,avg_nor_popularity,nor_movie_count,scaled_avg_score
0,Martin Scorsese,"['tm84618', 'tm155787', 'tm27911', 'tm186461', 'tm244149', 'tm453099']",6,47.65,42.4,7.941666666666666,7.066666666666666,5.327788342923227,0.79
1,John Boorman,['tm154986'],1,7.5,6.6000000000000005,7.5,6.6000000000000005,0.0,0.75
2,Terry Jones,"['tm127384', 'tm70993']",2,15.9,14.8,7.95,7.4,1.7243743076436346,0.8
3,Terry Gilliam,['tm127384'],1,8.0,7.4,8.0,7.4,0.0,0.8
4,Robert Aldrich,['tm120801'],1,7.65,6.800000000000001,7.65,6.800000000000001,0.0,0.77
5,Don Siegel,['tm14873'],1,7.6,6.800000000000001,7.6,6.800000000000001,0.0,0.76
6,Arthur Penn,['tm119281'],1,7.6,6.800000000000001,7.6,6.800000000000001,0.0,0.76
7,Randal Kleiser,['tm98978'],1,6.0,7.1,6.0,7.1,0.0,0.6
8,J. Lee Thompson,['tm44204'],1,7.4,6.5,7.4,6.5,0.0,0.74
9,Richard Brooks,['tm67378'],1,7.199999999999999,6.0,7.199999999999999,6.0,0.0,0.72
10,Jeff Margolis,['tm69997'],1,7.8,5.2,7.8,5.2,0.0,0.78
11,Michael Curtiz,['tm16479'],1,7.35,6.2,7.35,6.2,0.0,0.74
12,Youssef Chahine,"['tm135083', 'tm14350', 'tm81728', 'tm27298', 'tm19608', 'tm204541', 'tm90896', 'tm151332', 'tm47673', 'tm44776', 'tm117840']",11,74.45,46.60000000000001,6.7681818181818185,4.236363636363637,7.620049006509913,0.68
13,Joachim Fest,['tm89386'],1,7.4,4.9,7.4,4.9,0.0,0.74
14,Francine Parker,['tm156453'],1,6.15,3.7,6.15,3.7,0.0,0.62
15,Raj Khosla,['tm94651'],1,3.5,3.0,3.5,3.0,0.0,0.35
16,Umesh Mehra,"['tm100027', 'tm446654', 'tm371359', 'tm172482', 'tm449775']",5,28.65,18.2,5.73,3.64,4.672211657076773,0.57
17,Latif Faiziyev,"['tm100027', 'tm172482']",2,12.45,8.2,6.225,4.1,1.7243743076436346,0.62
18,Maroun Bagdadi,"['tm259855', 'tm200475', 'tm259684', 'tm52274', 'tm7032']",5,31.3,15.8,6.26,3.16,4.672211657076773,0.63
19,Shakti Samanta,['tm356209'],1,6.35,2.9,6.35,2.9,0.0,0.64
20,Mohammed Hussain,['tm336403'],1,4.449999999999999,3.0,4.449999999999999,3.0,0.0,0.44
21,Suhail Tatari,['tm107372'],1,5.9,3.6,5.9,3.6,0.0,0.59
22,A. Salaam,['tm403346'],1,5.3,2.1,5.3,2.1,0.0,0.53
23,Alo Sarkar,['tm16812'],1,5.2,2.7,5.2,2.7,0.0,0.52
24,Stanley Kubrick,['tm22327'],1,8.2,7.800000000000001,8.2,7.800000000000001,0.0,0.82
25,Sergio Leone,['tm180542'],1,8.4,7.5,8.4,7.5,0.0,0.84
26,Rob Reiner,"['tm138875', 'tm74780', 'tm165593']",3,20.4,21.0,6.800000000000001,7.0,2.9478373494331396,0.68
