avarage_score,weighted_average_popularity
8.2,0.8
7.5,0.66
8.0,0.74
7.6,0.68
7.9,0.74
7.6,0.68
7.6,0.68
6.0,0.71
7.4,0.65
7.2,0.6
7.8,0.52
7.4,0.62
7.4,0.52
7.4,0.49
6.2,0.37
6.6,0.43
8.3,0.43
3.5,0.3
7.4,0.48
6.5,0.4
7.2,0.43
6.3,0.37
5.6,0.26
6.4,0.29
6.8,0.31
6.2,0.41
4.4,0.3
5.9,0.36
6.3,0.28
6.4,0.28
5.3,0.21
5.2,0.27
8.6,0.82
8.2,0.78
8.4,0.75
7.6,0.71
7.4,0.75
7.2,0.64
6.6,0.71
6.8,0.68
7.8,0.68
7.4,0.71
7.4,0.63
7.4,0.6
6.7,0.57
5.3,0.6
6.7,0.41
7.0,0.5
7.2,0.5
7.2,0.4
8.0,0.55
6.2,0.39
7.6,0.5
7.6,0.57
5.8,0.49
7.0,0.53
7.5,0.44
6.4,0.38
5.8,0.36
6.6,0.42
6.6,0.51
7.0,0.36
6.0,0.43
5.2,0.37
7.2,0.48
5.7,0.34
5.0,0.31
5.9,0.36
6.4,0.36
6.6,0.4
5.1,0.36
7.6,0.35
5.2,0.32
6.2,0.31
5.9,0.42
6.6,0.29
7.0,0.42
5.9,0.34
5.7,0.4
7.0,0.78
8.5,0.84
7.8,0.72
8.6,0.85
8.0,0.78
7.3,0.7
7.9,0.86
7.2,0.74
6.1,0.75
7.0,0.76
7.7,0.72
8.4,0.82
7.2,0.34
6.5,0.67
6.6,0.72
6.4,0.73
6.2,0.64
7.6,0.74
7.2,0.67
7.4,0.72
6.4,0.71
7.2,0.68
6.8,0.65
6.0,0.7
8.2,0.68
6.0,0.64
7.1,0.69
7.3,0.66
6.5,0.7
4.9,0.71
6.6,0.69
7.2,0.69
6.0,0.66
6.5,0.72
7.5,0.66
5.6,0.65
5.0,0.58
6.6,0.54
6.2,0.66
5.2,0.67
6.9,0.6
4.9,0.64
6.4,0.57
4.9,0.64
6.8,0.5
6.1,0.56
7.6,0.64
6.4,0.36
4.8,0.52
7.0,0.58
7.2,0.6
7.8,0.53
6.8,0.4
7.8,0.55
6.4,0.48
7.8,0.5
6.3,0.32
8.3,0.49
7.6,0.55
6.4,0.5
6.0,0.48
6.0,0.45
6.3,0.32
7.6,0.49
6.1,0.55
6.9,0.48
6.8,0.41
7.2,0.48
6.4,0.49
7.4,0.44
6.6,0.44
5.8,0.52
7.7,0.47
6.8,0.52
6.2,0.36
6.4,0.55
7.4,0.32
7.4,0.48
6.5,0.36
7.2,0.43
7.4,0.5
5.3,0.36
6.6,0.39
6.4,0.4
5.8,0.32
6.6,0.38
6.2,0.49
7.9,0.34
5.9,0.4
4.8,0.34
6.2,0.41
4.9,0.51
6.2,0.37
5.3,0.45
5.8,0.39
7.3,0.44
5.4,0.3
7.0,0.76
7.2,0.78
8.0,0.82
6.8,0.72
6.9,0.74
8.6,0.88
8.4,0.81
6.8,0.8
6.5,0.77
6.6,0.76
7.8,0.79
8.4,0.32
7.4,0.74
7.0,0.7
